Pipeline,biobakery3,biobakery3,biobakery3,biobakery4,biobakery4,jams,jams,wgsa2,wgsa2,woltka,woltka
,n,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev,Mean,Stdev
Community,,,,,,,,,,,
BMock12,1.0,0.0,,0.0,,0.013231678827408,,0.2852785106375292,,0.0,
CamiSim S1,1.0,0.0,,0.0,,0.022530659379655,,0.0087779108031571,,0.0,
CamiSim S2,1.0,0.0,,0.0,,0.0084543008466307,,0.0007626288976952,,0.0,
NIST EG,1.0,0.0,,0.0,,0.1569956363381312,,0.0059205479289126,,0.0,
NIST MIX-A,1.0,0.0,,0.0,,0.0395475817472083,,0.0023922199955124,,0.0,
NIST MIX-B,1.0,0.0,,0.0,,0.0484573168657752,,0.0025255839466411,,0.0,
NIST MIX-C,1.0,0.0,,0.0,,0.0642473330738856,,0.002233973706629,,0.0,
NIST MIX-D,1.0,0.0,,0.0,,0.0285880945139032,,0.0020430336276192,,0.0,
Amos HiLo,5.0,0.0,0.0,0.0,0.0,0.03080341009682828,0.0008485473340768664,0.03340407594973012,0.0011019072916611872,0.0,0.0
Amos Mixed,5.0,0.0,0.0,0.0,0.0,0.07629749970271146,0.01546470762886866,0.09589507466197722,0.0006910594822556152,0.0,0.0
Tourlousse,6.0,0.0,0.0,0.0,0.0,0.0323346053347409,0.0029718678155887966,0.12372128806948858,0.0012537521713524948,0.0,0.0
