,count,count,count,count,count,mean,mean,mean,mean,mean,std,std,std,std,std
Pipeline,biobakery3,biobakery4,jams,wgsa2,woltka,biobakery3,biobakery4,jams,wgsa2,woltka,biobakery3,biobakery4,jams,wgsa2,woltka
Source,,,,,,,,,,,,,,,
Amos HiLo,5.0,5.0,5.0,5.0,5.0,8.402519999999999,2.71252,12.79564,12.43696,16.3845,1.0697974724217663,0.040067530495402494,0.34140419300295644,0.286740166352745,0.11231954415861947
Amos Mixed,5.0,5.0,5.0,5.0,5.0,8.767439999999999,1.9991599999999998,10.42296,14.81574,20.62992,0.7747720910048324,0.055893496938373706,0.35874110860061753,0.051593730239245204,0.21670798785462597
Tourlousse,6.0,6.0,6.0,6.0,6.0,14.567183333333332,3.8085500000000003,8.1602,14.378966666666665,23.90341666666667,0.7257524906375915,0.02483600209373502,0.3963876486471295,0.10023431880681784,0.2606446808716168
