genus,RA,genus_lineage
BIFIDOBACTERIUM,0.3751050999999999,1678
PREVOTELLA,0.1654714,838
ESCHERICHIA,0.1603373,561
PARABACTEROIDES,0.1383273,375288
BACTEROIDES,0.0842788,816
CLOSTRIDIUM,0.0167607,1485
COLLINSELLA,0.0162986,102106
ROSEBURIA,0.0160043,841
ANAEROSTIPES,0.0140402,207244
EUBACTERIUM,0.0107763999999999,2569097
AKKERMANSIA,0.0015526,239934
FAECALIBACTERIUM,0.0009092,216851
BLAUTIA,0.0001017,572511
ALISTIPES,3.61e-05,239759
LACTOBACILLUS,0.0,1578
