genus,RA,genus_lineage
ESCHERICHIA,0.1624353,561
ENTEROCOCCUS,0.1261364999999999,1350
STAPHYLOCOCCUS,0.102561,1279
VIBRIO,0.1015626999999999,662
NEISSERIA,0.0973717,482
STREPTOCOCCUS,0.0954471,1301
SALMONELLA,0.0776727,590
KLEBSIELLA,0.0774026,570
LISTERIA,0.0762777,1637
ACHROMOBACTER,0.0635139999999999,222
ACINETOBACTER,0.017945700000000002,469
LEGIONELLA,0.001673,445
