genus,RA,genus_lineage
ESCHERICHIA,0.3451279,561
NEISSERIA,0.2971352,482
STAPHYLOCOCCUS,0.29197819999999997,1279
KLEBSIELLA,0.0255101,570
SALMONELLA,0.024478,590
ACINETOBACTER,0.0076968,469
LEGIONELLA,0.0055674,445
AEROMONAS,0.0024087,642
ENTEROCOCCUS,9.78e-05,1350
STREPTOCOCCUS,0.0,1301
LISTERIA,0.0,1637
ACHROMOBACTER,0.0,222
VIBRIO,0.0,662
