Organism,TaxID
Muricauda sp. ES.050,1798204
Thioclava sp. ES.032,1798206
Cohaesibacter sp. ES.047,1798205
Propionibacteriaceae bacterium ES.041,1945889
Marinobacter sp. LV10R510-8,1415571
Marinobacter sp. LV10MA510-1,1415567
Psychrobacter sp. LV10R520-6,1415574
Micromonospora echinaurantiaca,47857
Micromonospora echinofusca,47858
Micromonospora coxensis,356852
Halomonas sp. hl-4,1761789
Halomonas sp. HL-93,1666906
