Genus,Count
Caulobacter,2.72E-06
Methylobacter,2.68E-06
Methylophaga,2.68E-06
Pseudonocardia,2.64E-06
Nocardiopsis,2.63E-06
Lutibaculum,2.63E-06
Kordiimonas,2.58E-06
Rheinheimera,2.58E-06
Gilvimarinus,2.57E-06
Brucella,2.57E-06
Roseibacterium,2.55E-06
Simiduia,2.54E-06
Natronohydrobacter,2.54E-06
Kribbella,2.49E-06
Aeromicrobium,2.47E-06
Actinokineospora,2.35E-06
Methylomonas,2.32E-06
Cucumibacter,2.32E-06
Porticoccus,2.31E-06
Aestuariimicrobium,2.16E-06
Congregibacter,2.14E-06
Amycolatopsis,2.10E-06
Sphaerisporangium,2.08E-06
Aestuariivita,2.06E-06
Owenweeksia,2.06E-06
Nonomuraea,1.98E-06
Haematobacter,1.96E-06
Sinomicrobium,1.96E-06
Aureimonas,1.95E-06
Amphritea,1.94E-06
Pseudaminobacter,1.93E-06
Pelagibaca,1.88E-06
Propionibacterium,1.84E-06
Erythrobacter,1.83E-06
Allochromatium,1.80E-06
Maribius,1.75E-06
Microbispora,1.75E-06
Actinopolymorpha,1.73E-06
Luteococcus,1.73E-06
Maritimibacter,1.70E-06
Leeuwenhoekiella,1.67E-06
Hyphomonas,1.67E-06
Streptacidiphilus,1.67E-06
Roseivivax,1.65E-06
Saccharophagus,1.64E-06
Planktothricoides,1.64E-06
Haliea,1.64E-06
Rhodococcus,1.64E-06
Magnetovibrio,1.59E-06
Acidipropionibacterium,1.58E-06
Litorimicrobium,1.57E-06
Aminobacter,1.54E-06
Salipiger,1.54E-06
Myroides,1.52E-06
Thalassobium,1.52E-06
Candidatus Tokpelaia,1.49E-06
Aquimarina,1.47E-06
Neorhizobium,1.46E-06
Kitasatospora,1.46E-06
Ferrimonas,1.45E-06
Aliiroseovarius,1.44E-06
Candidatus Liberibacter,1.42E-06
Maritalea,1.41E-06
Xanthomarina,1.41E-06
Poseidonocella,1.39E-06
Thioalkalimicrobium,1.35E-06
Candidatus Endobugula,1.34E-06
Psychromonas,1.31E-06
Blastococcus,1.31E-06
Aliivibrio,1.31E-06
Allosalinactinospora,1.26E-06
Gemmata,1.23E-06
Thermopetrobacter,1.23E-06
Pseudophaeobacter,1.20E-06
Gynuella,1.19E-06
Tenacibaculum,1.19E-06
Imtechella,1.18E-06
Tamlana,1.16E-06
Chryseobacterium,1.16E-06
Raineyella,1.15E-06
Hyunsoonleella,1.14E-06
Albimonas,1.14E-06
Nitrosococcus,1.14E-06
Pararhizobium,1.11E-06
Luminiphilus,1.10E-06
Paramesorhizobium,1.10E-06
Corynebacterium,1.10E-06
Actinocatenispora,1.07E-06
Pleomorphobacterium,1.07E-06
Magnetospira,1.05E-06
Pacificibacter,1.05E-06
Jiangella,1.04E-06
Paraglaciecola,1.03E-06
Planomonospora,1.03E-06
Modestobacter,1.00E-06
Ulvibacter,9.88E-07
Yuhushiella,9.81E-07
Pleomorphomonas,9.74E-07
Cellulomonas,9.45E-07
Microbulbifer,9.38E-07
Tessaracoccus,9.31E-07
Spirillospora,9.09E-07
Robiginitomaculum,8.80E-07
Kordia,8.80E-07
Palleronia,8.51E-07
Phycicoccus,8.30E-07
Amorphus,8.30E-07
Propionimicrobium,8.22E-07
Methylocella,8.01E-07
Flaviramulus,7.94E-07
Knoellia,7.86E-07
Marmoricola,7.86E-07
Zunongwangia,7.79E-07
Pantoea,7.65E-07
Escherichia,7.65E-07
Psychroflexus,7.36E-07
Tepidicaulis,7.36E-07
Pseudopropionibacterium,7.29E-07
Sphingopyxis,7.29E-07
Mameliella,7.21E-07
Intrasporangium,6.93E-07
Streptoalloteichus,6.71E-07
Lentzea,6.20E-07
Galbibacter,6.20E-07
Kaistia,6.20E-07
Ponticoccus,6.13E-07
Sediminimonas,6.13E-07
Cribrihabitans,6.06E-07
Planktotalea,6.06E-07
Hydrogenovibrio,5.99E-07
Goodfellowiella,5.92E-07
Sneathiella,5.92E-07
Catelliglobosispora,5.92E-07
Donghicola,5.77E-07
Trueperella,5.70E-07
Geodermatophilus,5.41E-07
Pseudorhizobium,5.41E-07
Motiliproteus,5.41E-07
Citreimonas,5.34E-07
Lentibacter,5.34E-07
Methyloferula,5.27E-07
Idiomarina,5.27E-07
Haemophilus,5.19E-07
Thermocrispum,5.05E-07
Fulvimarina,4.98E-07
Marivita,4.91E-07
Cryptosporangium,4.83E-07
Marinosulfonomonas,4.83E-07
Staphylococcus,4.83E-07
Albidovulum,4.69E-07
Tranquillimonas,4.69E-07
Pimelobacter,4.62E-07
Ancylobacter,4.55E-07
Roseinatronobacter,4.55E-07
Tolypothrix,4.55E-07
Pseudoxanthobacter,4.55E-07
Sphaerimonospora,4.47E-07
Winogradskyella,4.40E-07
Tetrasphaera,4.40E-07
Altibacter,4.40E-07
Neptuniibacter,4.33E-07
Litoreibacter,4.33E-07
Planobispora,4.33E-07
Blastochloris,4.33E-07
Leifsonia,4.26E-07
Umezawaea,4.26E-07
Epibacterium,4.26E-07
Pseudodonghicola,4.18E-07
Methyloceanibacter,4.11E-07
Oceaniovalibus,4.04E-07
Kineosporia,3.97E-07
Catenulispora,3.82E-07
Klebsiella,3.82E-07
Pontibaca,3.68E-07
Pustulibacterium,3.61E-07
Erwinia,3.61E-07
Alkanindiges,3.61E-07
Tsukamurella,3.54E-07
Dokdonia,3.54E-07
Altererythrobacter,3.46E-07
Saccharomonospora,3.32E-07
Zooshikella,3.25E-07
Ponticaulis,3.25E-07
Pseudohaliea,3.25E-07
Acidovorax,3.25E-07
Quadrisphaera,3.17E-07
Zhouia,3.10E-07
Pseudopelagicola,3.03E-07
Angustibacter,2.89E-07
Pseudochrobactrum,2.89E-07
Methylocapsa,2.89E-07
Cedecea,2.81E-07
Shigella,2.81E-07
Hirschia,2.81E-07
Dietzia,2.74E-07
Alloactinosynnema,2.74E-07
Ornithinimicrobium,2.74E-07
Arthrobacter,2.53E-07
Chishuiella,2.53E-07
Sedimentitalea,2.53E-07
Nakamurella,2.53E-07
Alteromonas,2.45E-07
Actinophytocola,2.45E-07
Arsenicicoccus,2.45E-07
Moritella,2.45E-07
Henriciella,2.45E-07
Lawsonella,2.38E-07
Pseudoclavibacter,2.38E-07
Luteimonas,2.38E-07
Planktomarina,2.38E-07
Microvirga,2.38E-07
Tomitella,2.38E-07
Bauldia,2.38E-07
Chelativorans,2.31E-07
Prosthecomicrobium,2.31E-07
Allokutzneria,2.31E-07
Methyloligella,2.31E-07
Leucothrix,2.31E-07
Actinosynnema,2.24E-07
Balneatrix,2.24E-07
Algoriella,2.24E-07
Jatrophihabitans,2.16E-07
Luteipulveratus,2.16E-07
Enterobacter,2.09E-07
Thiocystis,2.09E-07
Rhodopseudomonas,2.09E-07
Novosphingobium,2.02E-07
Methylomicrobium,2.02E-07
Enterovibrio,1.95E-07
Cloacibacterium,1.95E-07
Pluralibacter,1.95E-07
Comamonas,1.95E-07
Rubrimonas,1.88E-07
Kibdelosporangium,1.88E-07
Beijerinckia,1.88E-07
Grimontia,1.88E-07
Diaphorobacter,1.88E-07
Piscicoccus,1.80E-07
Legionella,1.80E-07
Salinisphaera,1.73E-07
Providencia,1.73E-07
Sporichthya,1.73E-07
Sedimenticola,1.66E-07
Lechevalieria,1.66E-07
Actinomycetospora,1.66E-07
Xanthomonas,1.66E-07
Cryocola,1.59E-07
Alishewanella,1.59E-07
Thiohalocapsa,1.59E-07
Beutenbergia,1.59E-07
Methylocystis,1.52E-07
Citrobacter,1.52E-07
Thermomonospora,1.44E-07
Sphingomonas,1.37E-07
Serinicoccus,1.37E-07
Labrys,1.37E-07
Methylomarinum,1.37E-07
Actinospica,1.30E-07
Borrelia,1.30E-07
Phormidium,1.30E-07
Marichromatium,1.30E-07
Candidatus Pelagibacter,1.30E-07
Algoriphagus,1.30E-07
Aeromonas,1.30E-07
Arenimonas,1.30E-07
Thiohalospira,1.23E-07
Bradyrhizobium,1.23E-07
Raoultella,1.23E-07
Rhodospirillum,1.23E-07
Acuticoccus,1.23E-07
Chelatococcus,1.15E-07
Serratia,1.08E-07
Salegentibacter,1.08E-07
Sciscionella,1.08E-07
Haematomicrobium,1.01E-07
Salinimicrobium,1.01E-07
Bacteroides,1.01E-07
Kineosphaera,1.01E-07
Herbidospora,1.01E-07
Millisia,1.01E-07
Wenyingzhuangia,1.01E-07
Roseospirillum,9.38E-08
Sodalis,9.38E-08
Thalassotalea,9.38E-08
Branchiibius,9.38E-08
Oceanibulbus,8.66E-08
Kineococcus,8.66E-08
Candidatus Altiarchaeum,8.66E-08
Kluyvera,8.66E-08
Azotobacter,8.66E-08
Skermanella,8.66E-08
Brevibacterium,8.66E-08
Sulfurovum,7.94E-08
Cyanothece,7.94E-08
Terasakiella,7.94E-08
Gaetbulibacter,7.94E-08
Microtetraspora,7.94E-08
Rubellimicrobium,7.94E-08
Sediminibacter,7.21E-08
Ruminococcus,7.21E-08
Thiohalomonas,7.21E-08
Ruania,7.21E-08
Candidatus Phaeomarinobacter,7.21E-08
Candidatus Tenderia,7.21E-08
Gelidibacter,7.21E-08
Gilliamella,7.21E-08
Sulfolobus,7.21E-08
Gayadomonas,7.21E-08
Glycomyces,7.21E-08
Actinotalea,7.21E-08
Nitrolancea,7.21E-08
Acetobacter,7.21E-08
Streptomonospora,7.21E-08
Haematospirillum,7.21E-08
Actinobacillus,6.49E-08
Neorickettsia,6.49E-08
Mobilicoccus,6.49E-08
Thiolapillus,6.49E-08
Luteibacter,6.49E-08
Starkeya,5.77E-08
Oblitimonas,5.77E-08
Kytococcus,5.77E-08
Sedimentibacter,5.77E-08
Curtobacterium,5.77E-08
Phormidesmis,5.77E-08
Kribbia,5.77E-08
Thiorhodococcus,5.77E-08
Stackebrandtia,5.77E-08
Curvibacter,5.77E-08
Micavibrio,5.77E-08
Tersicoccus,5.77E-08
Monashia,5.77E-08
Janibacter,5.05E-08
Pilimelia,5.05E-08
Thalassospira,5.05E-08
Demequina,5.05E-08
Dickeya,5.05E-08
Paenarthrobacter,5.05E-08
Solirubrobacter,5.05E-08
Methylosinus,5.05E-08
Plesiomonas,5.05E-08
Marinicella,5.05E-08
Cylindrospermopsis,5.05E-08
Izhakiella,5.05E-08
Streptococcus,5.05E-08
Tolumonas,5.05E-08
Methylovulum,4.33E-08
Ventosimonas,4.33E-08
Xenorhabdus,4.33E-08
Orrella,4.33E-08
Nisaea,4.33E-08
Dechloromonas,4.33E-08
Ectothiorhodospira,4.33E-08
Achromatium,4.33E-08
Azospirillum,4.33E-08
Ralstonia,4.33E-08
Alkalimonas,4.33E-08
Algicola,4.33E-08
Cyclobacterium,4.33E-08
Acaricomes,4.33E-08
Candidatus Thiodiazotropha,3.61E-08
Sanguibacter,3.61E-08
Rhizobacter,3.61E-08
Treponema,3.61E-08
Desulfitobacterium,3.61E-08
Catenovulum,3.61E-08
Thermobispora,3.61E-08
Saccharibacter,3.61E-08
Marinagarivorans,2.89E-08
Sanguibacteroides,2.89E-08
Halothiobacillus,2.89E-08
Waddlia,2.89E-08
Cronobacter,2.89E-08
Aquisalimonas,2.89E-08
Smaragdicoccus,2.89E-08
Agarivorans,2.89E-08
Methylohalobius,2.89E-08
Xenophilus,2.89E-08
Stenotrophomonas,2.89E-08
Citromicrobium,2.89E-08
Demetria,2.89E-08
Beggiatoa,2.89E-08
Candidatus Puniceispirillum,2.89E-08
Paraoerskovia,2.89E-08
Parvibaculum,2.89E-08
Sulfurivirga,2.89E-08
Sphingorhabdus,2.89E-08
Hyphomicrobium,2.89E-08
Rouxiella,2.89E-08
Austwickia,2.89E-08
Leclercia,2.89E-08
Tumebacillus,2.89E-08
Kosakonia,2.89E-08
Pseudolabrys,2.89E-08
Porphyromonas,2.89E-08
Williamsia,2.89E-08
Lelliottia,2.89E-08
Phaseolibacter,2.89E-08
Bibersteinia,2.16E-08
Micrococcus,2.16E-08
Haloactinobacterium,2.16E-08
Actinopolyspora,2.16E-08
Hoyosella,2.16E-08
Porphyrobacter,2.16E-08
Cellulosimicrobium,2.16E-08
Sulfurimonas,2.16E-08
Pseudoxanthomonas,2.16E-08
Xylanimonas,2.16E-08
Sinosporangium,2.16E-08
Skermania,2.16E-08
Agromyces,2.16E-08
Candidatus Marithrix,2.16E-08
Yersinia,2.16E-08
Xylanimicrobium,1.44E-08
Afipia,1.44E-08
Spirosoma,1.44E-08
Chania,1.44E-08
Brenneria,1.44E-08
Caballeronia,1.44E-08
Thiobacillus,1.44E-08
Diplorickettsia,1.44E-08
Prevotella,1.44E-08
Buttiauxella,1.44E-08
Janthinobacterium,1.44E-08
Neomicrococcus,1.44E-08
Nitrobacter,1.44E-08
Thermobifida,1.44E-08
Pragia,1.44E-08
Rhodoplanes,1.44E-08
Thiothrix,1.44E-08
Coxiella,1.44E-08
Yokenella,1.44E-08
Frateuria,1.44E-08
Holospora,1.44E-08
Dokdonella,1.44E-08
Timonella,1.44E-08
Pectobacterium,1.44E-08
Cryobacterium,1.44E-08
Bordetella,1.44E-08
