Species,RA,TAX_ID
Exiguobacterium,1.2336891401771904e-05,33986
Dolosicoccus,1.2073282611135753e-05,171413
Candidatus Photodesmus,1.1967839094881293e-05,1076727
Reinekea,1.1282456239227297e-05,230494
Conchiformibius,1.1229734481100067e-05,334107
Virgibacillus,1.1229734481100067e-05,84406
Paenisporosarcina,1.0966125690463915e-05,651660
Lamprocystis,1.0913403932336684e-05,53452
Gracilibacillus,1.0702516899827764e-05,74385
Tatumella,1.0649795141700534e-05,82986
Bibersteinia,1.0649795141700534e-05,476528
Rahnella,1.0280742834809921e-05,34037
Proteus,9.806247011664848e-06,583
Simiduia,9.648081737283156e-06,447467
Enhygromyxa,9.595359979155925e-06,215802
Domibacillus,9.437194704774235e-06,1433999
Avibacterium,9.331751188519775e-06,292486
Oceanospirillum,9.331751188519775e-06,965
Rheinheimera,8.962698881629162e-06,67575
Couchioplanes,8.909977123501932e-06,56433
Crocosphaera,8.64636833286578e-06,263510
Sanguibacteroides,8.488203058484089e-06,1635148
Chlamydia,8.435481300356857e-06,810
Actinobacillus,8.277316025975167e-06,713
Novosphingobium,8.171872509720706e-06,165696
Thalassotalea,8.119150751593476e-06,1518149
Gayadomonas,8.119150751593476e-06,1234605
Hafnia,7.750098444702863e-06,568
Psychrobacter,7.697376686575633e-06,497
Parageobacillus,7.697376686575633e-06,1906945
Chania,7.697376686575633e-06,1745211
Viridibacillus,7.591933170321172e-06,496496
Geobacillus,7.486489654066712e-06,129337
Fluoribacter,7.486489654066712e-06,461
Halobacillus,7.3810461378122505e-06,45667
Chromobacterium,7.27560262155779e-06,535
Methylobacterium,7.170159105303329e-06,407
Tumebacillus,7.064715589048869e-06,432330
Pseudovibrio,7.011993830921638e-06,258255
Marinobacter,6.9592720727944076e-06,2742
Gallaecimonas,6.906550314667177e-06,745410
Lachnoclostridium,6.748385040285486e-06,1506553
Anthococcus,6.642941524031026e-06,1930830
Helcococcus,6.642941524031026e-06,31983
Capnocytophaga,6.642941524031026e-06,1016
Nissabacter,6.537498007776565e-06,1964366
Angelakisella,6.537498007776565e-06,1935176
Massilibacterium,6.432054491522104e-06,1923871
Terribacillus,6.221167459013183e-06,459532
Williamsia,6.221167459013183e-06,85043
Massilia,6.115723942758722e-06,149698
Gallibacterium,6.010280426504261e-06,155493
Coprobacillus,5.95755866837703e-06,100883
Francisella,5.79939339399534e-06,262
Photorhabdus,5.79939339399534e-06,29487
Ewingella,5.79939339399534e-06,41201
Comamonas,5.5885063614864185e-06,283
Amphibacillus,5.5885063614864185e-06,29331
Vulcanibacillus,5.483062845231957e-06,551771
Thalassobacillus,5.483062845231957e-06,331971
Candidatus Thiodiazotropha,5.377619328977497e-06,1913444
Treponema,5.377619328977497e-06,157
Actinotignum,5.377619328977497e-06,1653174
Aliagarivorans,5.272175812723036e-06,882379
Lonsdalea,5.061288780214114e-06,1082702
Alysiella,5.061288780214114e-06,194195
Aggregatibacter,5.061288780214114e-06,416916
Izhakiella,4.955845263959654e-06,1780190
Chromohalobacter,4.850401747705193e-06,42054
Rappaport,4.850401747705193e-06,1955421
Bhargavaea,4.850401747705193e-06,941338
Psychrobacillus,4.6395147151962714e-06,1221880
Arcobacter,4.534071198941811e-06,28196
