genus,Mix-D,tax_id
ACHROMOBACTER,0.0,222
ACINETOBACTER,0.0,469
AEROMONAS,0.0045046,642
ENTEROCOCCUS,0.728344,1350
ESCHERICHIA,0.0623852,561
KLEBSIELLA,0.0,570
LEGIONELLA,0.0120388,445
LISTERIA,0.4803752,1637
NEISSERIA,0.059771,482
SALMONELLA,0.0020486,590
STAPHYLOCOCCUS,0.054348,1279
STREPTOCOCCUS,0.0,1301
VIBRIO,0.5961846,662
