species,Mix-C,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.2742486,85698
ACINETOBACTER_BAUMANNII,0.0,470
ACINETOBACTER_SEIFERTII,0.0,1530123
AEROMONAS_HYDROPHILA,0.006011,644
ENTEROCOCCUS_FAECALIS,0.10975479999999999,1351
ESCHERICHIA_COLI,0.646189,562
KLEBSIELLA_PNEUMONIAE,0.0,573
LEGIONELLA_PNEUMOPHILA,0.0175696,446
LISTERIA_MONOCYTOGENES,0.073036,1639
NEISSERIA_MENINGITIDIS,0.0,487
SALMONELLA_ENTERICA,0.0,28901
STAPHYLOCOCCUS_AUREUS,0.0,1280
STREPTOCOCCUS_PYOGENES,0.783252,1314
VIBRIO_FURNISSII,0.0899392,29494
