genus,Mix-A,tax_id
ACHROMOBACTER,0.0,222
ACINETOBACTER,0.022742,469
AEROMONAS,0.0022756,642
ENTEROCOCCUS,0.0001693,1350
ESCHERICHIA,0.3143587,561
KLEBSIELLA,0.021208499999999998,570
LEGIONELLA,0.005849299999999999,445
LISTERIA,0.0,1637
NEISSERIA,0.3147723,482
SALMONELLA,0.023447,590
STAPHYLOCOCCUS,0.2950138,1279
STREPTOCOCCUS,0.0,1301
VIBRIO,0.00016340000000000001,662
