species,Mix-D,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698
ACINETOBACTER_BAUMANNII,0.0,470
ACINETOBACTER_SEIFERTII,0.0,1530123
AEROMONAS_HYDROPHILA,0.0022523,644
ENTEROCOCCUS_FAECALIS,0.364172,1351
ESCHERICHIA_COLI,0.0311926,562
KLEBSIELLA_PNEUMONIAE,0.0,573
LEGIONELLA_PNEUMOPHILA,0.0060194,446
LISTERIA_MONOCYTOGENES,0.2401876,1639
NEISSERIA_MENINGITIDIS,0.0298855,487
SALMONELLA_ENTERICA,0.0010243,28901
STAPHYLOCOCCUS_AUREUS,0.027174,1280
STREPTOCOCCUS_PYOGENES,0.0,1314
VIBRIO_FURNISSII,0.2980923,29494
