SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,bio4,14,0.9937,0.0052,1.4097,0.9635,0.0086,100.0000,0.0000
S1,jams,13,0.9389,0.0135,2.3673,0.9122,0.0205,92.3077,0.0000
S1,wgsa,13,0.6190,0.0282,2.5907,0.8164,0.0517,92.3077,0.0000
S1,woltka,18,0.6624,0.0327,9.3351,0.7055,0.0441,87.5000,3.9996
S2,bio4,11,0.9521,0.0139,0.8675,0.9237,0.0276,100.0000,0.0000
S2,jams,11,0.9212,0.0202,0.7936,0.8891,0.0291,100.0000,0.0000
S2,wgsa,12,0.5804,0.0351,2.6406,0.7893,0.0664,100.0000,1.8748
S2,woltka,15,0.6610,0.0441,8.6668,0.6694,0.0568,81.8182,28.1267
