genus,SRR540392,tax_id
ABSIELLA,2.199978000219998e-05,2057233
WALTERA,2.199978000219998e-05,2815781
ANAEROVORAX,2.199978000219998e-05,109326
NAGANISHIA,2.199978000219998e-05,1851509
LENTZEA,2.099979000209998e-05,165301
AMPHIDINIUM,2.099979000209998e-05,2960
PEPTOCLOSTRIDIUM,2.099979000209998e-05,1481960
KALLIPYGA,2.099979000209998e-05,1472763
INTESTINIBACILLUS,2.099979000209998e-05,1928820
DESULFOVIBRIO,1.999980000199998e-05,872
YUEOMYCES,1.999980000199998e-05,1723649
LACHNOSPIRA,1.999980000199998e-05,28050
CATENIBACILLUS,1.899981000189998e-05,2316203
ANAEROBUTYRICUM,1.899981000189998e-05,2569097
SPIROSOMA,1.899981000189998e-05,107
HYMENOBACTER,1.899981000189998e-05,89966
CRYPTOSPORANGIUM,1.899981000189998e-05,65502
BILIFRACTOR,1.899981000189998e-05,2815776
BRENNERIA,1.899981000189998e-05,71655
AQUIBACILLUS,1.799982000179998e-05,1647190
PROVENCIBACTERIUM,1.6999830001699983e-05,1987016
LAURENTIELLA,1.6999830001699983e-05,114680
SELENOMONAS,1.6999830001699983e-05,970
NITRATIREDUCTOR,1.6999830001699983e-05,245876
PONTIBACILLUS,1.6999830001699983e-05,289201
GEOBACTER,1.6999830001699983e-05,28231
BREVIOLUM,1.6999830001699983e-05,2499524
COMAMONAS,1.5999840001599982e-05,283
HALLELLA,1.5999840001599982e-05,52228
PSEUDOBACTERIOVORAX,1.5999840001599982e-05,1769746
PSYCHROMONAS,1.5999840001599982e-05,67572
BACILLUS,1.5999840001599982e-05,1386
LIGILACTOBACILLUS,1.5999840001599982e-05,2767887
HALOARCULA,1.5999840001599982e-05,2237
BUTYRICIMONAS,1.5999840001599982e-05,574697
PSEUDOOCEANICOLA,1.5999840001599982e-05,1679449
MARVINBRYANTIA,1.5999840001599982e-05,248744
CLADOCOPIUM,1.5999840001599982e-05,2486696
SHEWANELLA,1.4999850001499985e-05,22
SOLOBACTERIUM,1.4999850001499985e-05,123375
SERRATIA,1.4999850001499985e-05,613
TUWONGELLA,1.4999850001499985e-05,2051044
GRYLLOTALPICOLA,1.4999850001499985e-05,1195526
SALINICOCCUS,1.4999850001499985e-05,45669
PSEUDORAMIBACTER,1.4999850001499985e-05,113286
ZHIHENGLIUELLA,1.4999850001499985e-05,370735
HOLDEMANELLA,1.3999860001399986e-05,1573535
TREPONEMA,1.3999860001399986e-05,157
ENHYDROBACTER,1.3999860001399986e-05,212791
PORCINCOLA,1.3999860001399986e-05,2815778
TERRIGLOBUS,1.3999860001399986e-05,392733
ALGIBACTER,1.3999860001399986e-05,261827
AGROBACTERIUM,1.3999860001399986e-05,357
DESULFACINUM,1.2999870001299987e-05,35836
PARAMECIUM,1.2999870001299987e-05,5884
PSEUDOPREVOTELLA,1.2999870001299987e-05,2884814
MYCOLICIBACTERIUM,1.1999880001199989e-05,1866885
GYMNOPUS,1.1999880001199989e-05,93827
ROSEOMONAS,1.1999880001199989e-05,125216
THIOMONAS,1.1999880001199989e-05,32012
RUSSULA,1.1999880001199989e-05,5402
LONGICATENA,1.1999880001199989e-05,1918536
TRICHODERMA,1.1999880001199989e-05,5543
FONTIMONAS,1.1999880001199989e-05,1434005
ESCHERICHIA,1.1999880001199989e-05,561
MORDAVELLA,1.099989000109999e-05,1981033
SARCINA,1.099989000109999e-05,1266
SCEDOSPORIUM,1.099989000109999e-05,41687
ENDOBACTERIUM,1.099989000109999e-05,2822655
DESULFITOBACTERIUM,1.099989000109999e-05,36853
PAULINELLA,1.099989000109999e-05,39716
THIOHALOSPIRA,1.099989000109999e-05,476278
ATHELIA,1.099989000109999e-05,5309
AEROMICROBIUM,9.99990000099999e-06,2040
MARINOBACTER,9.99990000099999e-06,2742
WOLFIPORIA,9.99990000099999e-06,81055
MAGNETOSPIRILLUM,9.99990000099999e-06,13134
NOCARDIOIDES,9.99990000099999e-06,1839
MOGIBACTERIUM,9.99990000099999e-06,86331
BREVIBACILLUS,9.99990000099999e-06,55080
AQUISEDIMINIMONAS,9.99990000099999e-06,2676781
ACINETOBACTER,9.999900000999989e-06,469
PARVIBACTER,8.99991000089999e-06,1427376
LACTOBACILLUS,8.99991000089999e-06,1578
GRANULICELLA,8.99991000089999e-06,940557
RHODOCOCCUS,8.99991000089999e-06,1827
SPOROLACTOBACILLUS,8.99991000089999e-06,2077
AEROMONAS,8.99991000089999e-06,642
COLLIMONAS,8.99991000089999e-06,202907
PHOTOBACTERIUM,7.999920000799991e-06,657
TERMITOMYCES,7.999920000799991e-06,71927
LETHARIA,7.999920000799991e-06,112415
EISENBERGIELLA,7.999920000799991e-06,1432051
KALAHARITUBER,7.999920000799991e-06,502117
BACILLICULTUROMICA,7.999920000799991e-06,2005387
DESULFONEMA,7.999920000799991e-06,45654
PARAFANNYHESSEA,7.999920000799991e-06,2847312
DESULFONATRONOSPIRA,7.999920000799991e-06,488937
ACETANAEROBACTERIUM,7.999920000799991e-06,258514
URUBURUELLA,7.999920000799991e-06,299568
SALMONELLA,7.999920000799991e-06,590
ORYZOMONAS,7.999920000799991e-06,2855184
ERWINIA,6.999930000699993e-06,551
THRAUSTOCHYTRIUM,6.999930000699993e-06,4774
SENEGALIMASSILIA,6.999930000699993e-06,1473205
HALOFERAX,6.999930000699993e-06,2251
BARNESIELLA,6.999930000699993e-06,397864
VARIOVORAX,6.999930000699993e-06,34072
EMERGENCIA,6.999930000699993e-06,1926556
SACCHAROTHRIX,6.999930000699993e-06,2071
MARIPROFUNDUS,6.999930000699993e-06,377315
RAMLIBACTER,6.999930000699993e-06,174951
SOLIRUBROBACTER,6.999930000699993e-06,207599
LISTERIA,5.999940000599994e-06,1637
STREPTOCOCCUS,5.999940000599994e-06,1301
ANOXYBACILLUS,5.999940000599994e-06,150247
LACTICASEIBACILLUS,5.999940000599994e-06,2759736
DUBOSIELLA,5.999940000599994e-06,1937008
PECTOBACTERIUM,5.999940000599994e-06,122277
BOTRYTIS,5.999940000599994e-06,33196
SUBTERCOLA,5.999940000599994e-06,120212
SCHAEDLERELLA,5.999940000599994e-06,2676048
ALKALIHALOBACILLUS,5.999940000599994e-06,2675234
COLLETOTRICHUM,5.999940000599994e-06,5455
TRIBONEMA,5.999940000599994e-06,2980
SELLIMONAS,5.999940000599994e-06,1769710
EXOPHIALA,4.999950000499995e-06,5583
SOLIMONAS,4.999950000499995e-06,413435
ADHAERIBACTER,4.999950000499995e-06,299566
CRYPHONECTRIA,4.999950000499995e-06,5115
EUGLENA,4.999950000499995e-06,3038
ROSEOVARIUS,4.999950000499995e-06,74030
GLOBISPORANGIUM,4.999950000499995e-06,1448052
LACHNOTALEA,4.999950000499995e-06,1763508
PEDOBACTER,3.999960000399996e-06,84567
CHITINIPHILUS,3.999960000399996e-06,585890
RHODOMICROBIUM,3.999960000399996e-06,1068
PHYTOACTINOPOLYSPORA,3.999960000399996e-06,1783488
PARAPHOMA,0.0,798070
PARAPREVOTELLA,0.0,577309
PARAPHAEOSPHAERIA,0.0,125369
PARARHIZOBIUM,0.0,1612611
TIRMANIA,0.0,160516
TISTRELLA,0.0,171436
PARVIBACULUM,0.0,256616
PELOBACTER,0.0,18
PARVIMONAS,0.0,543311
TISSIERELLA,0.0,41273
TINDALLIA,0.0,69894
PELAGIBIUS,0.0,643951
PBUNAVIRUS,0.0,1198980
PECTINATUS,0.0,864
PELOLINEA,0.0,1649478
THIOCLAVA,0.0,285107
PELOSINUS,0.0,365348
PENICILLIUM,0.0,5073
PIROMYCES,0.0,4821
PIEDRAIA,0.0,147572
PICHIA,0.0,4919
PHYTOPHTHORA,0.0,4783
PHYTOHABITANS,0.0,907364
THAUERA,0.0,33057
THERMOACTINOMYCES,0.0,2023
PHREATOBACTER,0.0,1632780
PHOTORHABDUS,0.0,29487
PHORMIDIUM,0.0,1198
PHOLIOTA,0.0,13205
THERMOCLOSTRIDIUM,0.0,2304691
PHOENICIBACTER,0.0,1981050
THERMOFLAVIMICROBIUM,0.0,292636
THERMOPHAGUS,0.0,1434049
PHIALOCEPHALA,0.0,150173
THERMOTOGA,0.0,2335
PHAFFOMYCES,0.0,83172
PHAEOBACTER,0.0,302485
PETROTOGA,0.0,28236
PETROCELLA,0.0,2603323
PERLABENTIMONAS,0.0,2866216
PERIBACILLUS,0.0,2675229
THERMUS,0.0,270
PEPTONIPHILUS,0.0,162289
THIOALKALIVIBRIO,0.0,106633
PEPTOANAEROBACTER,0.0,1913599
THIOHALOBACTER,0.0,1273155
THIOMICRORHABDUS,0.0,2039723
PARAMURIBACULUM,0.0,2518497
TURICIBACTER,0.0,191303
PARAMIKROCYTOS,0.0,1483956
WICKERHAMIELLA,0.0,45787
NIGROGRANA,0.0,1234310
XENORHABDUS,0.0,626
NITROSOMONAS,0.0,914
NITROSOSPIRA,0.0,35798
XANTHOMONAS,0.0,338
XANTHOMARINA,0.0,1868329
NODULARIA,0.0,159191
TRICHOLOMA,0.0,40144
VITRELLA,0.0,1169538
NONOMURAEA,0.0,83681
NOVIHERBASPIRILLUM,0.0,1344552
NOVISYNTROPHOCOCCUS,0.0,2888809
VIRGIBACILLUS,0.0,84406
NOVOSPHINGOBIUM,0.0,165696
NIABELLA,0.0,379899
XYLOGONE,0.0,756023
NEUROSPORA,0.0,5140
NEPTUNOMONAS,0.0,75687
NEOVAHLKAMPFIA,0.0,166955
NEORHIZOBIUM,0.0,1525371
NEOMICROCOCCUS,0.0,1868332
NEOBITTARELLA,0.0,2126544
YAMADAZYMA,0.0,766765
NEOBACILLUS,0.0,2675232
YARROWIA,0.0,4951
YERSINIA,0.0,629
NEGATIVIBACILLUS,0.0,1980693
NAKAZAWAEA,0.0,460521
NAKATAEA,0.0,228882
ZOOGLOEA,0.0,349
NAEGLERIA,0.0,5761
OCEANIDESULFOVIBRIO,0.0,2905722
OCEANISPHAERA,0.0,225143
OCEANIVIRGA,0.0,1824856
PAECILOMYCES,0.0,33202
TRICHOSPORON,0.0,5552
PARAFILIMONAS,0.0,1649476
PARACOCCUS,0.0,265
PARABURKHOLDERIA,0.0,1822464
TRITRICHOMONAS,0.0,5723
TRYPANOSOMA,0.0,5690
PAPILIOTREMA,0.0,189450
TSUNEONELLA,0.0,2800686
PANTOEA,0.0,53335
PISOLITHUS,0.0,37467
PALUDIBACTERIUM,0.0,400060
PALUDIBACTER,0.0,346096
PAENISPOROSARCINA,0.0,651660
TYZZERELLA,0.0,1506577
OXYTRICHA,0.0,5943
VIBRIO,0.0,662
OXALOBACTER,0.0,846
OTTOWIA,0.0,219181
UREAPLASMA,0.0,2129
UREIBACILLUS,0.0,160795
ORNITHINIMICROBIUM,0.0,125287
ORIENTIA,0.0,69474
VAGOCOCCUS,0.0,2737
ORBILIA,0.0,47022
OPITUTUS,0.0,178440
OPHIOCORDYCEPS,0.0,474995
VALLITALEA,0.0,1348611
VEILLONELLA,0.0,29465
VELOCIMICROBIUM,0.0,2815780
OCEANOBACILLUS,0.0,182709
THALASSOCOCCUS,0.0,436357
POLARIBACTER,0.0,52959
PISTRICOCCUS,0.0,1897649
SMITTIUM,0.0,4888
SPATHASPORA,0.0,412764
SORANGIUM,0.0,39643
RATHAYIBACTER,0.0,33886
RHEINHEIMERA,0.0,67575
SODALIPHILUS,0.0,2815786
SNODGRASSELLA,0.0,1193515
RHIZOPHAGUS,0.0,295919
SIPHONOBACTER,0.0,700450
MYROIDES,0.0,76831
