genus,SRR17380245
Akkermansia,0.0486402
Anaerostipes,0.0662161
Bacillus,0.044725299999999996
Bacteroides,0.058457499999999996
Bifidobacterium,0.1054104
Blautia,0.1321061
Collinsella,0.050175599999999994
Cutibacterium,0.058586200000000005
Escherichia,0.0728936
Flavonifractor,0.0391585
Lachnoclostridium,0.0616613
Lactobacillus,0.0421801
Megamonas,0.009474400000000001
Megasphaera,0.0089051
Parabacteroides,0.063346
Pseudomonas,0.0072768
Staphylococcus,0.0526592
Streptococcus,0.0781275
