species,SRR17380242,tax_id
AKKERMANSIA_MUCINIPHILA,0.0493927,239935.0
ANAEROSTIPES_CACCAE,0.0646896,105841.0
BACILLUS_INTESTINALIS,0.0057957,1963032.0
BACILLUS_MURIMARTINI,0.0380262,171685.0
BACTEROIDES_UNIFORMIS,0.0594181,820.0
BIFIDOBACTERIUM_LONGUM,0.1061857,216816.0
BLAUTIA_COCCOIDES,0.0003751,1532.0
BLAUTIA_PRODUCTA,0.0582678,33035.0
CLOSTRIDIUM_CLOSTRIDIOFORME,0.064498,
COLLINSELLA_AEROFACIENS,0.048133600000000006,74426.0
COLLINSELLA_STERCORIS,1.7899999999999998e-05,147206.0
CUTIBACTERIUM_ACNES,0.059989600000000004,1747.0
ESCHERICHIA_COLI,0.0724265,562.0
FLAVONIFRACTOR_PLAUTII,0.0396421,292800.0
LACTOBACILLUS_DELBRUECKII,0.0430807,1584.0
MEGAMONAS_FUNIFORMIS,0.0066673,437897.0
MEGAMONAS_FUNIFORMIS_CAG-377,0.000365,1263086.0
MEGAMONAS_HYPERMEGALE,0.0060477000000000005,158847.0
MEGASPHAERA_SP._DISK-18,0.0101854,1776081.0
PARABACTEROIDES_DISTASONIS,0.06276620000000001,823.0
PSEUDOMONAS_PUTIDA_GROUP,0.0064852,136845.0
RUMINOCOCCUS_GNAVUS,0.0726855,33038.0
STAPHYLOCOCCUS_EPIDERMIDIS,0.0503418,1282.0
STREPTOCOCCUS_MUTANS,0.0745163,1309.0
