genus,SRR11487938,tax_id
BIFIDOBACTERIUM,0.177387758285692,1678
PREVOTELLA,0.11744117791175461,838
BACTEROIDES,0.10777724555928109,816
ROSEBURIA,0.08543440195918628,841
ALISTIPES,0.05419962060265578,239759
ESCHERICHIA,0.053437625936618445,561
COLLINSELLA,0.052557632096575324,102106
AKKERMANSIA,0.05058964587247889,239934
PARABACTEROIDES,0.05002464982745121,375288
RUMINOCOCCUS,0.04620267658126393,1263
BLAUTIA,0.04514268400121199,572511
FAECALIBACTERIUM,0.03571474999675002,216851
ANAEROBUTYRICUM,0.033295766929631494,2569097
LACTOBACILLUS,0.032251774237580334,1578
ANAEROSTIPES,0.03137778035553751,207244
UNCLASSIFIED,0.015998888007783946,12908
CLOSTRIDIUM,0.008250942243404296,1485
DOREA,0.0005009964930245489,189330
ANAEROTRUNCUS,0.0004709967030230788,244127
ENTEROCOCCUS,0.00043299696902121684,1350
SHIGELLA,0.0003169977810155329,620
PHOCAEICOLA,0.0002599981800127399,909656
MEDITERRANEIBACTER,0.00023799833401166192,2316020
KLEBSIELLA,0.00022399843201097592,570
COPROCOCCUS,9.699932100475297e-05,33042
CITROBACTER,5.799959400284198e-05,544
BUTYRIVIBRIO,5.499961500269498e-05,830
RUTHENIBACTERIUM,5.499961500269498e-05,1905344
PSEUDOFLAVONIFRACTOR,4.9999650002449983e-05,1017280
SALINICOCCUS,4.4999685002204984e-05,45669
HUNGATELLA,3.499975500171499e-05,1649459
MASSILIIMALIA,2.299983900112699e-05,2895461
LACRIMISPORA,1.0999923000538997e-05,2719231
LACHNOSPIRA,8.999937000440997e-06,28050
EUBACTERIUM,7.999944000391996e-06,1730
FAECALICATENA,5.999958000293998e-06,2005359
CLOSTRIDIOIDES,5.999958000293998e-06,1870884
LACHNOANAEROBACULUM,4.999965000244998e-06,1164882
ARCOBACTER,2.999979000146999e-06,28196
STREPTOMYCES,1.999986000097999e-06,1883
ANAPLASMA,9.999930000489996e-07,768
MYCOLICIBACTERIUM,9.999930000489996e-07,1866885
STAPHYLOCOCCUS,9.999930000489996e-07,1279
TRABULSIELLA,0.0,158851
PROSTHECOBACTER,0.0,48463
ATLANTIBACTER,0.0,1903434
RAOULTELLA,0.0,160674
STREPTOCOCCUS,0.0,1301
ASPERGILLUS,0.0,5052
CAMPYLOBACTER,0.0,194
ANAEROMASSILIBACILLUS,0.0,1924093
SALMONELLA,0.0,590
SATURNISPORA,0.0,29834
SCHAALIA,0.0,2529408
ALIIDONGIA,0.0,1914229
BUTYRICICOCCUS,0.0,580596
NOVISYNTROPHOCOCCUS,0.0,2888809
PARACLOSTRIDIUM,0.0,1849822
ENTEROBACTER,0.0,547
FLAVOBACTERIUM,0.0,237
FUSICATENIBACTER,0.0,1407607
HERBASPIRILLUM,0.0,963
HOLDEMANELLA,0.0,1573535
ENTEROCLOSTER,0.0,2719313
INTESTINIRHABDUS,0.0,2899543
KLUYVERA,0.0,579
CLADONIA,0.0,5199
LACHNOCLOSTRIDIUM,0.0,1506553
DYSOSMOBACTER,0.0,2591381
LIGILACTOBACILLUS,0.0,2767887
LISTERIA,0.0,1637
MASSOSPORA,0.0,348616
ODORIBACTER,0.0,283168
AEROMONAS,0.0,642
